Timestamp,Temperature(°C),Status,FET_Temp(°C),Current(A),Voltage(V),Power(W)
2025-05-08 19:50:12,0.00,HEATING,0.00,0.000,11.56,0.00
2025-05-08 19:50:13,22.09,HEATING,22.99,5.891,11.08,65.27
2025-05-08 19:50:15,22.09,HEATING,22.99,5.827,11.08,64.56
2025-05-08 19:50:16,22.09,HEATING,22.99,5.766,11.08,63.89
2025-05-08 19:50:17,22.09,HEATING,22.99,5.736,11.08,63.55
2025-05-08 19:50:19,22.09,HEATING,22.99,5.733,11.08,63.52
2025-05-08 19:50:20,22.10,HEATING,22.99,5.701,11.08,63.17
2025-05-08 19:50:22,22.10,HEATING,22.99,5.673,11.08,62.86
2025-05-08 19:50:23,22.10,HEATING,22.99,5.670,11.08,62.82
2025-05-08 19:50:24,22.10,HEATING,22.99,5.638,11.08,62.47
2025-05-08 19:50:26,22.11,HEATING,23.10,4.539,11.27,51.15
2025-05-08 19:50:27,22.11,HEATING,23.10,4.380,11.27,49.36
2025-05-08 19:50:29,22.12,HEATING,23.10,4.224,11.27,47.60
2025-05-08 19:50:30,22.13,HEATING,23.10,4.126,11.33,46.75
2025-05-08 19:50:31,22.13,HEATING,23.10,4.063,11.33,46.03
2025-05-08 19:50:33,22.14,HEATING,23.10,4.032,11.33,45.68
2025-05-08 19:50:34,22.15,HEATING,23.21,4.002,11.33,45.34
2025-05-08 19:50:36,22.15,HEATING,23.21,4.000,11.33,45.32
2025-05-08 19:50:37,22.16,HEATING,23.21,3.976,11.33,45.05
2025-05-08 19:50:39,22.17,HEATING,23.21,3.937,11.33,44.61
2025-05-08 19:50:40,22.18,HEATING,23.21,3.906,11.33,44.25
2025-05-08 19:50:41,22.18,HEATING,23.32,3.937,11.33,44.61
2025-05-08 19:50:43,22.20,HEATING,23.32,3.906,11.33,44.25
2025-05-08 19:50:44,22.20,HEATING,23.32,3.890,11.33,44.07
2025-05-08 19:50:46,22.21,HEATING,23.32,3.877,11.33,43.93
2025-05-08 19:50:47,22.22,HEATING,23.32,3.874,11.33,43.89
2025-05-08 19:50:48,22.23,HEATING,23.32,3.874,11.33,43.89
2025-05-08 19:50:50,22.24,HEATING,23.32,3.870,11.33,43.85
2025-05-08 19:50:51,22.25,HEATING,23.32,3.813,11.33,43.20
2025-05-08 19:50:53,22.26,HEATING,23.43,3.811,11.33,43.18
2025-05-08 19:50:54,22.27,HEATING,23.43,3.811,11.33,43.18
2025-05-08 19:50:55,22.28,HEATING,23.43,3.810,11.33,43.17
2025-05-08 19:50:57,22.29,HEATING,23.43,3.780,11.33,42.83
2025-05-08 19:50:58,22.30,HEATING,23.43,3.780,11.33,42.83
2025-05-08 19:51:00,22.31,HEATING,23.54,3.764,11.33,42.65
2025-05-08 19:51:01,22.31,HEATING,23.54,3.748,11.33,42.46
2025-05-08 19:51:02,22.33,HEATING,23.54,3.732,11.40,42.54
2025-05-08 19:51:04,22.34,HEATING,23.54,3.687,11.40,42.03
2025-05-08 19:51:05,22.35,HEATING,23.54,3.717,11.40,42.37
2025-05-08 19:51:07,22.35,HEATING,23.54,3.716,11.40,42.36
2025-05-08 19:51:08,22.37,HEATING,23.54,3.658,11.40,41.70
2025-05-08 19:51:09,22.38,HEATING,23.54,3.685,11.40,42.01
2025-05-08 19:51:11,22.38,HEATING,23.65,3.685,11.40,42.01
2025-05-08 19:51:12,22.40,HEATING,23.65,3.654,11.40,41.66
2025-05-08 19:51:14,22.41,HEATING,23.65,3.622,11.40,41.29
2025-05-08 19:51:15,22.42,HEATING,23.65,3.622,11.40,41.29
2025-05-08 19:51:16,22.43,HEATING,23.65,3.621,11.40,41.28
2025-05-08 19:51:18,22.44,HEATING,23.65,3.592,11.40,40.95
2025-05-08 19:51:19,22.45,HEATING,23.76,3.591,11.40,40.94
2025-05-08 19:51:21,22.45,HEATING,23.76,3.591,11.40,40.94
2025-05-08 19:51:22,22.47,HEATING,23.76,3.575,11.40,40.76
2025-05-08 19:51:23,22.48,HEATING,23.76,3.553,11.40,40.50
2025-05-08 19:51:25,22.49,HEATING,23.76,3.557,11.40,40.55
2025-05-08 19:51:26,22.50,HEATING,23.76,3.528,11.40,40.22
2025-05-08 19:51:28,22.51,HEATING,23.76,3.528,11.40,40.22
2025-05-08 19:51:29,22.52,HEATING,23.87,3.500,11.40,39.90
2025-05-08 19:51:30,22.54,HEATING,23.87,3.496,11.40,39.85
2025-05-08 19:51:32,22.55,HEATING,23.87,3.496,11.40,39.85
2025-05-08 19:51:33,22.56,HEATING,23.87,3.465,11.40,39.50
2025-05-08 19:51:35,22.57,HEATING,23.87,3.465,11.40,39.50
2025-05-08 19:51:36,22.58,HEATING,23.87,3.465,11.40,39.50
2025-05-08 19:51:37,22.60,HEATING,23.87,3.433,11.40,39.14
2025-05-08 19:51:39,22.61,HEATING,23.98,3.433,11.40,39.14
2025-05-08 19:51:40,22.62,HEATING,23.98,3.433,11.40,39.14
2025-05-08 19:51:42,22.63,HEATING,23.98,3.433,11.40,39.14
2025-05-08 19:51:43,22.63,HEATING,23.98,3.465,11.40,39.50
2025-05-08 19:51:44,22.64,HEATING,23.98,3.433,11.40,39.14
2025-05-08 19:51:46,22.65,HEATING,23.98,3.433,11.40,39.14
2025-05-08 19:51:47,22.67,HEATING,24.09,3.405,11.40,38.82
2025-05-08 19:51:49,22.68,HEATING,24.09,3.402,11.46,38.99
2025-05-08 19:51:50,22.69,HEATING,24.09,3.402,11.46,38.99
2025-05-08 19:51:51,22.70,HEATING,24.09,3.370,11.46,38.62
