Tue Jul 15 13:46:47 2025 : heaters.c : run_heaters_thread : Attempting to connect to LabJack T7 at 172.20.3.16
Tue Jul 15 13:46:47 2025 : heaters.c : init_socket_heaters : UDP socket initialized successfully
Tue Jul 15 13:46:49 2025 : heaters.c : open_labjack : Error opening LabJack: LJME_DEVICE_NOT_FOUND
Tue Jul 15 13:46:49 2025 : heaters.c : run_heaters_thread : WARNING: Failed to connect to LabJack T7 at 172.20.3.16. Running UDP server only (no heater control).
Tue Jul 15 13:46:49 2025 : heaters.c : run_heaters_thread : LabJack not connected - heater control disabled, UDP server only
Tue Jul 15 13:46:49 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:46:59 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:47:09 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:47:19 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:47:29 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:47:39 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:47:49 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:47:59 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:48:09 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:48:19 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:48:29 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:48:39 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:48:49 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:48:59 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:49:09 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:49:19 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:49:29 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:49:39 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:49:49 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:49:59 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:50:09 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:50:19 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
Tue Jul 15 13:50:29 2025 : heaters.c : run_heaters_thread : Status: LabJack OFFLINE | Total current 0.00A/3.0A | Active heaters: -- -- -- -- --
