Sat Jun  7 21:50:26 2025 : main_Sag.c : main : Started logfile
Sat Jun  7 21:50:26 2025 : main_Sag.c : main : Starting command log
Sat Jun  7 21:50:26 2025 : main_Sag.c : main : GPS initialized
Sat Jun  7 21:50:26 2025 : main_Sag.c : main : GPS logging started automatically
Sat Jun  7 21:50:26 2025 : main_Sag.c : main : GPS UDP server started on port 8080 for 3 authorized clients
Sat Jun  7 21:50:26 2025 : main_Sag.c : main : Spectrometer server initialized
Sat Jun  7 21:50:26 2025 : main_Sag.c : main : Spectrometer UDP server started on port 8081 for 3 authorized clients
Sat Jun  7 21:53:37 2025 : main_Sag.c : main : Spectrometer UDP server stopped during cleanup
Sat Jun  7 21:53:37 2025 : main_Sag.c : main : GPS UDP server stopped during cleanup
Sat Jun  7 21:53:37 2025 : main_Sag.c : main : GPS logging stopped during cleanup
7 21:51:18,445 - INFO - Programming FPGA with rfsoc4x2_tut_spec_cx/outputs/rfsoc4x2_tut_spec_cx_14pt_fft_2025-05-19_1245.fpg
2025-06-07 21:51:20,049 - INFO - FPGA programmed successfully
2025-06-07 21:51:22,052 - INFO - Reading FPGA system information
2025-06-07 21:51:22,500 - INFO - Setting acc_len to 32768
2025-06-07 21:51:22,605 - INFO - Setting adc_chan_sel to 0
2025-06-07 21:51:22,710 - INFO - Resetting counters
2025-06-07 21:51:27,725 - INFO - Connected to existing shared memory for UDP server communication
2025-06-07 21:51:27,725 - INFO - Starting 120 kHz resolution spectrometer acquisition
2025-06-07 21:51:27,725 - INFO - FFT size: 16384, Frequency resolution: 0.120000 MHz
2025-06-07 21:51:27,725 - INFO - Data acquisition in progress...
2025-06-07 21:53:34,404 - INFO - Received termination signal. Cleaning up...
